ID,Job tenure,Age,Car price,Funding amount,Down payment,Loan duration,Monthly payment,Credit event,Married,Homeowner,Default (y),Pred_default (y_hat),PD,Group
1,34,55,4875,3087,0,36,0.04789473684210526,0,1,1,0,0,0.001355909,1
2,5,29,13000,13000,0,60,0.09166666666666666,0,0,0,1,0,0.23499544,0
3,14,38,17190,14190,0,60,0.08823529411764706,0,0,0,0,0,4.5321216e-05,0
4,16,37,22773,23568,0,48,0.1100843712334271,0,1,1,0,0,1.6754544e-05,1
5,1,61,7700,8526,0,48,0.1234042553191489,0,1,0,1,1,0.98128915,0
6,17,50,10250,5750,0,48,0.1101694915254237,0,0,1,0,0,0.0027863043,0
7,8,45,8050,6050,0,48,0.06043478260869565,0,0,0,0,0,0.0008410084,0
8,10,51,9950,9610,0,60,0.06974358974358974,0,0,0,0,0,0.018986957,0
9,1,28,3890,4306,0,36,0.07470588235294118,1,1,0,1,1,0.9991359,0
10,1,28,10790,11954,0,84,0.1108843537414966,0,0,0,1,1,0.9919783,0
11,6,36,15589,9366,0,48,0.08584589614740369,0,1,0,0,0,0.00064466853,1
12,3,67,15990,15487,0,48,0.06,0,0,0,0,0,0.006464972,0
13,2,48,13400,11800,0,96,0.1808252427184466,0,0,0,0,0,5.6991386e-05,0
14,5,39,25790,25901,0,60,0.09172126265634306,0,1,0,0,1,0.99614257,0
15,15,53,3400,3400,0,24,0.06772727272727273,1,1,1,0,0,0.00032704414,0
16,1,30,18400,13169,0,36,0.5555555555555556,0,0,0,0,0,0.013923622,0
17,5,23,24250,20594,0,48,0.1633333333333333,0,0,0,0,0,0.0058937916,0
18,3,22,9078,9909,0,60,0.09076923076923077,0,0,1,0,0,0.024989955,0
19,0,25,15990,17302,0,60,0.1584615384615385,0,0,0,0,0,0.0001222381,0
20,44,60,13800,11808,0,72,0.07102040816326531,0,1,1,0,0,1.5331368e-06,1
21,0,30,6990,5433,0,60,0.08169934640522876,0,1,0,1,1,0.9968912,0
22,8,32,16120,11448,0,60,0.05441860465116279,0,0,1,0,0,1.7212767e-05,0
23,26,58,14990,10690,0,72,0.11,0,0,1,0,0,0.0010589986,0
24,3,26,14140,4840,1,12,0.2985714285714286,0,1,1,0,0,4.8167458e-05,0
25,10,61,8600,8600,0,36,0.1770034843205575,0,1,1,0,0,0.0016035609,1
26,4,67,2986,2986,0,12,0.1953846153846154,0,1,0,0,0,0.0010228388,0
27,44,61,19312,19312,0,72,0.1204,0,1,0,0,0,0.00033748342,1
28,0,24,10990,10000,0,60,0.08357142857142857,0,0,0,0,0,0.018268358,0
